id,question,title,authors,subjects,grade
REL-0023,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,I am a woman,"Bannon, Ann",Lesbians -- Fiction; New York (N.Y.) -- Fiction,1
REL-0024,Can you point me to a book in this collection that deals with needlework?,Little Folks' Handy Book,"Beard, Lina; Beard, Adelia B. (Adelia Belle)",,1
REL-0025,Do you have a novel in this collection that's about Belgians in England?,The Silver Lining: A Guernsey Story,"Roussel, John",Conduct of life -- Fiction; Guernsey (Channel Islands) -- Fiction,0
REL-0026,I'm looking for a psychology book that's available in this collection.,Children's books and reading,"Moses, Montrose Jonas",Children -- Books and reading; Children's literature -- Bibliography; Children's literature -- History and criticism,0
REL-0027,Do you have any books in this collection that are adventure fiction?,The Crimson Gardenia and Other Tales of Adventure,"Beach, Rex",,2
REL-0028,I'm looking for a psychology book that's available in this collection.,"Gas and Oil Engines, Simply Explained: An Elementary Instruction Book for Amateurs and Engine Attendants","Runciman, Walter C.",,0
REL-0029,"Could you help me locate a children's book in this collection that deals with the death of a child, meant for young readers?",A Room with a View,"Forster, E. M. (Edward Morgan)",British -- Italy -- Fiction; England -- Fiction; Florence (Italy) -- Fiction; Young women -- Fiction,0
REL-0030,Could you help me locate a cookbook in this library that focuses on American cuisine?,The Flaming Jewel,"Chambers, Robert W. (Robert William)",Jewel thieves -- Fiction,0
REL-0031,I'm looking for a book in this collection that deals with adaptations of Arthurian romances—can you point me to it?,A General Introduction to Psychoanalysis,"Freud, Sigmund",,0
REL-0032,Do you have any books in this collection that are adventure fiction?,Wuthering Heights,"Brontë, Emily",Foundlings -- Fiction; Heathcliff (Fictitious character : Brontë) -- Fiction; Rejection (Psychology) -- Fiction; Revenge -- Fiction; Rural families -- Fiction,0
REL-0033,I'm looking for a book in this collection that focuses on children and their reading habits.,"Tum Tum, the Jolly Elephant: His Many Adventures","Barnum, Richard",Animals -- Juvenile fiction; Circus -- Juvenile fiction; Elephants -- Juvenile fiction,0
REL-0034,I'm looking for a psychology book that's available in this collection.,Degeneration,"Nordau, Max Simon",Europe -- Intellectual life,0
REL-0035,I'm looking for a psychology book that's available in this collection.,Journey to a woman,"Bannon, Ann",Lesbians -- Fiction,0
REL-0036,I'm looking for a book on poetry—do you have any in this collection?,"The Wonders of the Jungle, Book One","Ghosh, Sarath Kumar",Zoology -- Juvenile literature,0
REL-0037,I'm looking for a psychology book that's available in this collection.,"The Letters of William James, Vol. 1","James, William",Intellectuals -- United States; Philosophers -- United States; Psychologists -- United States,1
REL-0038,Could you help me locate a cookbook in this library that focuses on American cuisine?,Psychological Warfare,"Linebarger, Paul Myron Anthony",,0
REL-0039,"Can you find a book in this collection that focuses on the church history of London, England?",Nights in London,"Burke, Thomas",London (England) -- Social life and customs,0
REL-0040,I'm looking for a psychology book that's available in this collection.,A General Introduction to Psychoanalysis,"Freud, Sigmund",,2
REL-0041,Could you help me locate a book in this collection that discusses amusements from a religious perspective?,"The Complete Opera Book: The Stories of the Operas, together with 400 of the Leading Airs and Motives in Musical Notation","Kobbé, Gustav","Operas -- Stories, plots, etc.",0
REL-0042,Do you have any books in this collection that are adventure fiction?,Bibliomania in the Middle Ages,"Merryweather, F. Somner (Frederick Somner)","Bibliomania -- History; Book collectors -- England -- Biography; England -- Intellectual life -- 1066-1485; Libraries -- Great Britain -- History -- 400-1400; Manuscripts, Medieval -- Collectors and collecting -- England -- History",0
REL-0043,Do you have any fiction books in the collection that are about stunt cycling?,The Bill-Toppers,"Castaigne, J. André",Stunt cycling -- Fiction; Vaudeville -- Fiction,2
REL-0044,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,Children of the Whirlwind,"Scott, Leroy",Criminals -- Fiction; Ex-convicts -- Fiction,0
REL-0045,Do you have any books here on German philosophy?,Representative Men: Seven Lectures,"Emerson, Ralph Waldo",,0
REL-0046,"Can you find a book in this collection that focuses on the church history of London, England?",Bibliomania in the Middle Ages,"Merryweather, F. Somner (Frederick Somner)","Bibliomania -- History; Book collectors -- England -- Biography; England -- Intellectual life -- 1066-1485; Libraries -- Great Britain -- History -- 400-1400; Manuscripts, Medieval -- Collectors and collecting -- England -- History",0
REL-0047,I'm looking for a psychology book that's available in this collection.,"The Wonders of the Jungle, Book One","Ghosh, Sarath Kumar",Zoology -- Juvenile literature,0
REL-0048,Could you help me locate a book in this collection that discusses amusements from a religious perspective?,"The Wonders of the Jungle, Book One","Ghosh, Sarath Kumar",Zoology -- Juvenile literature,0
REL-0049,I'm looking for a book in this collection that focuses on children and their reading habits.,The Silver Lining: A Guernsey Story,"Roussel, John",Conduct of life -- Fiction; Guernsey (Channel Islands) -- Fiction,0
REL-0050,I'm looking for a psychology book that's available in this collection.,"The Complete Opera Book: The Stories of the Operas, together with 400 of the Leading Airs and Motives in Musical Notation","Kobbé, Gustav","Operas -- Stories, plots, etc.",0
REL-0051,Do you have any books in this collection that are adventure fiction?,Walter and the Wireless,"Bassett, Sara Ware",Radio -- Juvenile fiction,1
REL-0052,Do you have any fiction books in the collection that are about stunt cycling?,Frank Merriwell's Bravery,"Standish, Burt L.",Adventure and adventurers -- Juvenile fiction,0
REL-0053,I'm looking for a psychology book that's available in this collection.,"The Psychology of Singing: A Rational Method of Voice Culture Based on a Scientific Analysis of All Systems, Ancient and Modern","Taylor, David C. (David Clark)",,2
REL-0054,I'm looking for a book in this collection that focuses on children and their reading habits.,King Arthur's Knights: The Tales Re-told for Boys & Girls,"Gilbert, Henry",Arthurian romances -- Adaptations; Knights and knighthood -- Juvenile literature,0
REL-0055,I'm looking for a psychology book that's available in this collection.,How to write Little Blue Books,"Smith, Lloyd E. (Lloyd Edwin)","Authorship -- Handbooks, manuals, etc.; Publishers and publishing -- United States",0
REL-0056,Is there a book in this collection that deals with ethics from before the 1800s?,"Human, All Too Human: A Book for Free Spirits","Nietzsche, Friedrich Wilhelm",,0
REL-0057,I'm looking for a book in this collection that focuses on children and their reading habits.,"Alice's Adventures Under Ground: Being a facsimile of the original Ms. book afterwards developed into ""Alice's Adventures in Wonderland""","Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Imaginary places -- Juvenile fiction,0
REL-0058,Do you have any books in this collection that are adventure fiction?,The trouble at Pinelands : $b A detective story,"Poate, Ernest M.","Distilling, Illicit -- Fiction; Murder -- Investigation -- Fiction; North Carolina -- Fiction",1
REL-0059,I'm looking for a psychology book that's available in this collection.,Psychological Warfare,"Linebarger, Paul Myron Anthony",,1
REL-0060,Do you have any books in this collection that are adventure fiction?,In Kings' Byways,"Weyman, Stanley John",France -- Fiction,1
REL-0061,Do you have any books in this collection that are adventure fiction?,The Bill-Toppers,"Castaigne, J. André",Stunt cycling -- Fiction; Vaudeville -- Fiction,2
REL-0062,"I'm looking for a book in this collection that covers law in ancient Babylonia, specifically with sources from that region.",Pagan and Christian Rome,"Lanciani, Rodolfo Amedeo",Christian antiquities -- Italy -- Rome; Rome (Italy) -- Antiquities,0
REL-0063,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,Pride and Prejudice,"Austen, Jane",Courtship -- Fiction; England -- Fiction; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,0
REL-0064,Can you point me to a book in this collection that deals with the theme of divorce as a fictional story?,The perfect wife,"Bottome, Phyllis",Divorce -- Fiction; Spouses -- Fiction; Triangles (Interpersonal relations) -- Fiction,2
REL-0065,Do you have any books in this collection that are adventure fiction?,Ted and the Telephone,"Bassett, Sara Ware",Anarchists -- Juvenile fiction; Floods -- Juvenile fiction; Inventors -- Juvenile fiction; People with disabilities -- Juvenile fiction; Telephone -- Juvenile fiction,1
REL-0066,Do you have a novel in this collection that's about Belgians in England?,Set in Silver,"Williamson, C. N. (Charles Norris); Williamson, A. M. (Alice Muriel)",Automobiles -- Fiction; England -- Fiction; Man-woman relationships -- Fiction; Voyages and travels -- Fiction,1
REL-0067,Do you have any books in this collection that are adventure fiction?,The Flaming Jewel,"Chambers, Robert W. (Robert William)",Jewel thieves -- Fiction,2
REL-0068,Could you help me locate a cookbook in this library that focuses on American cuisine?,Society as I Have Found It,"McAllister, Ward",Socialites -- New York (State) -- New York -- Biography,0
REL-0069,I'm looking for a book in this collection that discusses capitalism. Can you point me to one?,From Edinburgh to India & Burmah,"Burn Murdoch, W. G. (William Gordon)",Burma -- Description and travel; India -- Description and travel,0
REL-0070,I'm looking for a psychology book that's available in this collection.,The Yellow Wallpaper,"Gilman, Charlotte Perkins",Married women -- Psychology -- Fiction; Mentally ill women -- Fiction; Sex role -- Fiction,1
REL-0071,Do you have any fiction books in the collection that are about stunt cycling?,King Arthur's Knights: The Tales Re-told for Boys & Girls,"Gilbert, Henry",Arthurian romances -- Adaptations; Knights and knighthood -- Juvenile literature,0
REL-0072,I'm looking for a book in this collection that deals with adaptations of Arthurian romances—can you point me to it?,King Arthur's Knights: The Tales Re-told for Boys & Girls,"Gilbert, Henry",Arthurian romances -- Adaptations; Knights and knighthood -- Juvenile literature,2
REL-0073,I'm looking for a book on poetry—do you have any in this collection?,The Iliad of Homer: Translated into English Blank Verse by William Cowper,Homer,"Achilles (Mythological character) -- Poetry; Epic poetry, Greek -- Translations into English; Trojan War -- Poetry",2
REL-0074,Do you have any books in this collection that are adventure fiction?,"Phil Bradley's Mountain Boys : $b or, The Birch Bark Lodge","Boone, Silas K.",Adirondack Mountains (N.Y.) -- Juvenile fiction; Camping -- Juvenile fiction,2
REL-0075,I'm looking for a book in this collection that discusses capitalism. Can you point me to one?,Democracy in America — Volume 2,"Tocqueville, Alexis de",Democracy -- United States; United States -- Politics and government; United States -- Social conditions,1
REL-0076,Do you have any books in this collection that are adventure fiction?,The Lost World,"Doyle, Arthur Conan","Challenger, Professor (Fictitious character) -- Fiction; Dinosaurs -- Fiction; Prehistoric peoples -- Fiction; South America -- Fiction",2
REL-0077,Do you have any books in this collection that are adventure fiction?,Frank Merriwell's Bravery,"Standish, Burt L.",Adventure and adventurers -- Juvenile fiction,2
REL-0078,Do you have any books here on German philosophy?,Tragic Sense Of Life,"Unamuno, Miguel de","Faith and reason -- Christianity; Immortality -- Christianity; Tragic, The -- Religious aspects -- Christianity",0
REL-0079,I'm looking for a book in this collection that focuses on children and their reading habits.,Little Folks' Handy Book,"Beard, Lina; Beard, Adelia B. (Adelia Belle)",,1
REL-0080,Do you have a novel in this collection that's about Belgians in England?,Bibliomania in the Middle Ages,"Merryweather, F. Somner (Frederick Somner)","Bibliomania -- History; Book collectors -- England -- Biography; England -- Intellectual life -- 1066-1485; Libraries -- Great Britain -- History -- 400-1400; Manuscripts, Medieval -- Collectors and collecting -- England -- History",0
REL-0081,Can you point me to a book in this collection that deals with needlework?,Encyclopedia of Needlework,"Dillmont, Thérèse de",,2
REL-0082,Do you have any books in this collection that are adventure fiction?,Set in Silver,"Williamson, C. N. (Charles Norris); Williamson, A. M. (Alice Muriel)",Automobiles -- Fiction; England -- Fiction; Man-woman relationships -- Fiction; Voyages and travels -- Fiction,1
REL-0083,"Could you help me locate a children's book in this collection that deals with the death of a child, meant for young readers?",The Carpenter's Daughter,"Warner, Susan; Warner, Anna Bartlett",Children -- Death -- Juvenile fiction; Children of alcoholics -- Juvenile fiction; Christian life -- Juvenile fiction; Daughters -- Juvenile fiction; Poverty -- Juvenile fiction,2
REL-0084,I'm looking for a book on poetry—do you have any in this collection?,Evangeline: with Notes and Plan of Study,"Longfellow, Henry Wadsworth",Acadians -- Poetry,2
REL-0085,I'm looking for a book in this collection that focuses on children and their reading habits.,"The Happy Prince, and Other Tales","Wilde, Oscar",,0
REL-0086,"Can you find a book in this collection that focuses on the church history of London, England?","The City of God, Volume I","Augustine, of Hippo, Saint",Apologetics -- Early works to 1800; Kingdom of God -- Early works to 1800,0
REL-0087,I'm looking for a psychology book that's available in this collection.,Some Reminiscences of old Victoria,"Fawcett, Edgar",,0
REL-0088,Do you have a novel in this collection that's about Belgians in England?,Poirot Investigates,"Christie, Agatha","Belgians -- England -- Fiction; Poirot, Hercule (Fictitious character) -- Fiction; Private investigators -- England -- Fiction",2
REL-0089,Can you point me to a book in this collection that deals with needlework?,The Tapestry Book,"Candee, Helen Churchill",,2
REL-0090,Do you have any books here on German philosophy?,"Human, All Too Human: A Book for Free Spirits","Nietzsche, Friedrich Wilhelm",,2
REL-0091,Do you have any fiction books in the collection that are about stunt cycling?,The tortoiseshell cat,"Royde-Smith, Naomi",Lesbians -- Fiction; London (England) -- Social life and customs -- 20th century -- Fiction; Young women -- Fiction,0
REL-0092,I'm looking for a book in this collection that deals with adaptations of Arthurian romances—can you point me to it?,Le Morte d'Arthur: Volume 1,"Malory, Thomas, Sir","Arthur, King -- Legends",1
REL-0093,Do you have any books here on German philosophy?,Ethics,"Spinoza, Benedictus de",,0
REL-0094,I'm looking for a psychology book that's available in this collection.,"Human, All Too Human: A Book for Free Spirits","Nietzsche, Friedrich Wilhelm",,0
REL-0095,I'm looking for a psychology book that's available in this collection.,"How to Behave: A Pocket Manual of Republican Etiquette, and Guide to Correct Personal Habits: Embracing an Exposition of the Principles of Good Manners; Useful Hints on the Care of the Person, Eating, Drinking, Exercise, Habits, Dress, Self-culture, and Behavior at Home; the Etiquette of Salutations, Introductions, Receptions, Visits, Dinners, Evening Parties, Conversation, Letters, Presents, Weddings, Funerals, the Street, the Church, Places of Amusement, Traveling, Etc., with Illustrative Anecdotes, a Chapter on Love and Courtship, and Rules of Order for Debating Societies","Wells, Samuel R. (Samuel Roberts)",Etiquette -- United States,0
REL-0096,I'm looking for a psychology book that's available in this collection.,Folk-Tales of Bengal,"Day, Lal Behari",Bengali (South Asian people) -- Folklore; Tales -- India -- Bengal,0
REL-0097,I'm looking for a book in this collection that deals with adaptations of Arthurian romances—can you point me to it?,A Room with a View,"Forster, E. M. (Edward Morgan)",British -- Italy -- Fiction; England -- Fiction; Florence (Italy) -- Fiction; Young women -- Fiction,0
REL-0098,Do you have any fiction books in the collection that are about stunt cycling?,Following the Equator: A Journey Around the World,"Twain, Mark","Equator -- Description and travel; Twain, Mark, 1835-1910 -- Travel",0
REL-0099,I'm looking for a book on poetry—do you have any in this collection?,Gitanjali,"Tagore, Rabindranath","Bengali poetry -- Translations into English; Indic poetry -- Translations into English; Prose poems, Bengali -- Translations into English; Tagore, Rabindranath, 1861-1941 -- Translations into English",2
REL-0100,Could you help me locate a book in this collection that discusses amusements from a religious perspective?,Amusement: A Force in Christian Training,"Vincent, Marvin R.",Amusements -- Religious aspects,2
REL-0101,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,Fair Harbor,"Lincoln, Joseph Crosby",Cape Cod (Mass.) -- Fiction; Ship captains -- Fiction,0
REL-0102,I'm looking for a book in this collection that discusses capitalism. Can you point me to one?,The Evolution of Modern Capitalism: A Study of Machine Production,"Hobson, J. A. (John Atkinson)",Industries -- History,2
REL-0103,I'm looking for a book in this collection that focuses on children and their reading habits.,Set in Silver,"Williamson, C. N. (Charles Norris); Williamson, A. M. (Alice Muriel)",Automobiles -- Fiction; England -- Fiction; Man-woman relationships -- Fiction; Voyages and travels -- Fiction,0
REL-0104,Do you have any books in this collection that are adventure fiction?,Fair Harbor,"Lincoln, Joseph Crosby",Cape Cod (Mass.) -- Fiction; Ship captains -- Fiction,1
REL-0105,Do you have any books in this collection that are adventure fiction?,The Adventures of Ferdinand Count Fathom — Complete,"Smollett, T. (Tobias)",,2
REL-0106,I'm looking for a psychology book that's available in this collection.,The Evolution of Modern Capitalism: A Study of Machine Production,"Hobson, J. A. (John Atkinson)",Industries -- History,0
REL-0107,Do you have any books in this collection that are adventure fiction?,The Lady and the Pirate: Being the Plain Tale of a Diligent Pirate and a Fair Captive,"Hough, Emerson",Pirates -- Fiction,2
REL-0108,Can you point me to a book in this collection that deals with needlework?,A General Introduction to Psychoanalysis,"Freud, Sigmund",,0
REL-0109,Do you have any books in this collection that are adventure fiction?,How to write Little Blue Books,"Smith, Lloyd E. (Lloyd Edwin)","Authorship -- Handbooks, manuals, etc.; Publishers and publishing -- United States",0
REL-0110,I'm looking for a book in this collection that focuses on children and their reading habits.,Children's books and reading,"Moses, Montrose Jonas",Children -- Books and reading; Children's literature -- Bibliography; Children's literature -- History and criticism,2
REL-0111,I'm looking for a book in this collection that focuses on children and their reading habits.,Little Grandfather,"May, Sophie",Christian life -- Juvenile fiction; Conduct of life -- Juvenile fiction; Family -- Juvenile fiction; Sleepwalking -- Juvenile fiction,0
REL-0112,Could you help me locate a cookbook in this library that focuses on American cuisine?,"Phil Bradley's Mountain Boys : $b or, The Birch Bark Lodge","Boone, Silas K.",Adirondack Mountains (N.Y.) -- Juvenile fiction; Camping -- Juvenile fiction,0
REL-0113,Is there a book in this collection that deals with ethics from before the 1800s?,Ethics,"Spinoza, Benedictus de",,2
REL-0114,I'm looking for a book on poetry—do you have any in this collection?,The Waste Land,"Eliot, T. S. (Thomas Stearns)",,2
REL-0115,I'm looking for a psychology book that's available in this collection.,A Tramp Abroad,"Twain, Mark",Americans -- Europe -- Fiction; Europe -- Fiction; Walking -- Fiction,0
REL-0116,I'm looking for a psychology book that's available in this collection.,"The Principles of Psychology, Volume 1 (of 2)","James, William",,2
REL-0117,I'm looking for a psychology book that's available in this collection.,As a man thinketh,"Allen, James",,1
REL-0118,I'm looking for a book on poetry—do you have any in this collection?,The poems of Heine; Complete: Translated into the original metres; with a sketch of his life,"Heine, Heinrich","German poetry -- Translations into English; Heine, Heinrich, 1797-1856 -- Translations into English",2
REL-0119,I'm looking for a book on poetry—do you have any in this collection?,Poems,"Rilke, Rainer Maria",,2
REL-0120,Do you have any books in this collection that are adventure fiction?,Rita,"Richards, Laura Elizabeth Howe","Adventure and adventurers -- Fiction; Spanish-American War, 1898 -- Fiction",2
